날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률,SOX종가,SOX변동률,삼성말일종가,삼성최고가(종가),삼성최저가(종가),삼성거래량_합계,삼성거래량_일평균,삼성거래대금_합계,삼성거래대금_일평균
201307월,2.5,91.17,"27,200","31,550","27,000","159,346,763","6,928,120","4,533,363,438,420","197,102,758,192",-1.6,-1.5,-4.3,-3.7,-5.4,-2.3,105.03,5.38M,8.77,477.78,2,"1,280,000","1,335,000","1,226,000","6,426,545","279,415","8,259,649,188,543","359,115,182,111"
201308월,2.5,94.86,"28,250","29,150","26,200","107,295,962","5,109,332","2,980,566,654,200","141,931,745,438",-2.2,-2.1,-5.3,-5.8,-5.5,-2.6,107.65,5.30M,2.49,457.7,-4.2,"1,368,000","1,368,000","1,217,000","5,399,871","257,137","6,906,815,973,237","328,895,998,726"
201309월,2.5,102.85,"30,250","30,550","27,100","111,131,402","6,173,967","3,205,376,048,060","178,076,447,114",-4.7,-4.7,-8.1,-8.2,-8.7,-5.5,102.33,4.58M,-4.94,490.83,7.24,"1,367,000","1,425,000","1,337,000","4,889,929","271,663","6,727,829,459,367","373,768,303,298"
201310월,2.5,101.29,"31,950","34,600","29,950","129,308,718","6,157,558","4,236,190,811,000","201,723,371,952",-4.5,-4.5,-7.3,-6.5,-8.6,-5.3,96.38,5.14M,-5.81,507.09,3.31,"1,465,000","1,500,000","1,382,000","4,398,536","209,454","6,361,826,819,010","302,944,134,239"
201311월,2.5,94.47,"35,400","35,450","31,500","74,178,712","3,532,320","2,468,351,830,710","117,540,563,367",-2.5,-2.5,-4.9,-3.5,-6.4,-3.8,92.72,4.51M,-3.8,510.25,0.62,"1,494,000","1,500,000","1,410,000","3,965,399","188,829","5,788,510,857,295","275,643,374,157"
201312월,2.5,98.55,"36,800","37,150","34,250","80,388,076","4,019,404","2,893,649,749,300","144,682,487,465",-2.1,-2.1,-3.5,-1.5,-5.2,-3.1,98.42,3.66M,6.15,535.03,4.86,"1,372,000","1,467,000","1,372,000","4,081,514","204,076","5,792,868,002,965","289,643,400,148"
201401월,2.5,88.09,"37,850","39,000","35,250","96,379,226","4,818,961","3,555,567,249,560","177,778,362,478",-1.9,-1.9,-3,-2.3,-4.3,-1.1,97.49,4.49M,-0.94,529.18,-1.09,"1,280,000","1,328,000","1,272,000","6,360,306","318,015","8,269,643,773,347","413,482,188,667"
201402월,2.5,84.98,"38,750","39,900","36,500","70,030,223","3,501,511","2,708,423,427,670","135,421,171,384",-3.6,-3.6,-4.8,-4.8,-6.1,-1.4,102.59,3.93M,5.23,563.83,6.55,"1,349,000","1,349,000","1,237,000","4,230,976","211,549","5,478,584,001,347","273,929,200,067"
201403월,2.5,99.53,"36,000","39,450","36,000","66,767,348","3,179,398","2,513,308,228,860","119,681,344,231",-4.3,-4.3,-4.5,-3.5,-6.3,-1.9,101.58,4.59M,-0.98,586.74,4.06,"1,343,000","1,343,000","1,247,000","4,425,194","210,724","5,752,985,367,494","273,951,684,166"
201404월,2.5,91.69,"40,150","40,900","36,550","72,451,287","3,293,240","2,806,856,914,150","127,584,405,189",-7.4,-7.4,-6.9,-6.2,-8.4,-4.8,99.74,4.71M,-1.81,575.97,-1.84,"1,343,000","1,407,000","1,339,000","4,949,658","224,984","6,815,210,287,393","309,782,285,791"
